M=1.5 Msun              				        M=3.0 Msu    
ISOT.            Z        X_ini       X_AGB_He      M_He(ej)	  X_AGB_He      M_He(ej)      
pm148   2.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02   
pm149   2.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02   
sm147   2.0000D-04   1.4588D-10     7.3032D-10    4.7632D-02	9.9441D-10    5.2500D-02   
sm148   2.0000D-04   1.0748D-10     2.6905D-09    4.7632D-02	3.6900D-09    5.2500D-02   
sm149   2.0000D-04   1.3193D-10     4.1782D-10    4.7632D-02	5.8253D-10    5.2500D-02   
sm150   2.0000D-04   7.1257D-11     1.8139D-09    4.7632D-02	2.5570D-09    5.2500D-02   
sm151   2.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02   
sm152   2.0000D-04   2.6047D-10     1.5469D-09    4.7632D-02	2.2109D-09    5.2500D-02   
sm153   2.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02   
sm154   2.0000D-04   2.2445D-10     2.8236D-11    4.7632D-02	4.2490D-11    5.2500D-02   
eu151   2.0000D-04   1.7464D-10     2.9662D-10    4.7632D-02	4.1992D-10    5.2500D-02   
eu152   2.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02   
eu153   2.0000D-04   1.9331D-10     2.5263D-10    4.7632D-02	3.6027D-10    5.2500D-02   
eu154   2.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02   
eu155   2.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02   
eu156   2.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02   
eu157   2.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02   
      					       	   			   	       	        
ba134   5.0000D-04   3.6327D-10     1.1619D-08    4.7632D-02	1.3738D-08    5.2500D-02   
ba135   5.0000D-04   9.9387D-10     8.3453D-09    4.7632D-02	1.2037D-08    5.2500D-02   
ba136   5.0000D-04   1.1940D-09     4.0642D-08    4.7632D-02	4.7351D-08    5.2500D-02   
ba137   5.0000D-04   1.7173D-09     5.1870D-08    4.7632D-02	1.4699D-07    5.2500D-02   
ba138   5.0000D-04   1.1052D-08     6.2701D-07    4.7632D-02	6.6397D-07    5.2500D-02   
ba139   5.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02   
ba140   5.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02   
la139   5.0000D-04   1.5419D-09     6.7391D-08    4.7632D-02	7.0148D-08    5.2500D-02   
la140   5.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02   
la141   5.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02   
ce140   5.0000D-04   3.4994D-09     2.4345D-07    4.7632D-02	2.1366D-07    5.2500D-02   
ce141   5.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02   
ce142   5.0000D-04   4.4500D-10     1.4841D-08    4.7632D-02	4.0183D-08    5.2500D-02   
ce143   5.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02   
